"SWSN_ID","SWSN_Site","EASTING","NORTHING"
1,"Winkleman",512966.158817366,3638864.97260389
2,"Swingle's Sample",532071.943948269,3636667.29832967
3,"Bajada Site",526929.273920313,3644877.31357756
5,"Buzan",525150.091773018,3624483.2523233
6,"Indian Hill",517130.741782755,3653156.57071762
7,"Ash Terrace",517944.023302153,3629587.64908503
8,"Lost Mound",527635.09905237,3630988.03296793
9,"Dudleyville Mound",529707.208867103,3630711.53300437
10,"Leaverton",523796.141193166,3629491.41941848
11,"Camp Village",537515.557468191,3615942.94777949
12,"High Mesa",555859.860891953,3603307.62065065
13,"Elliott Site",565952.616766036,3583596.98547956
14,"Big Pot",541116.930021062,3623957.53324647
16,"Bayless Ruin",548655.546472371,3592726.97127561
17,"AZ BB:6:15",552531.576203629,3588740.07051592
18,"Camp Grant Massacre",527355.893393338,3625842.82808769
19,"Flieger",528458.403199941,3644213.46514371
20,"Green Lantern",529059.203289926,3636546.60557273
21,"Big Bell",541717.777999744,3615488.78843975
22,"Corrugated Ridge",539791.317928687,3608213.77851826
23,"Second Canyon Platform Mound",553105.954742968,3605395.93782191
24,"Bingham Cienega",543609.836847201,3583515.79514255
25,"111 Ranch",540972.200649843,3613844.14254847
26,"Tres Alamos",566963.07527566,3545774.83552238
27,"Davis Ranch Site",555491.699869081,3575755.03032185
28,"Reeve Ruin",540016.73259674,3593623.78877936
29,"Twin Hawks",529753.661849827,3606550.40188651
32,"Cruz de Piedra",537912.778451011,3608782.17455293
33,"AZ BB:6:13",538180.719442487,3602594.80898342
34,"HC 31",539603.150071457,3606092.2091585
35,"Adobe Hill",532422.609542415,3640658.02264544
38,"AZ BB:11:101(ASM)",566186.326060191,3582521.47093432
51,"AZ BB:2:26 (ASM)",535635.690970153,3643926.91960561
53,"AZ BB:2:63 (ASM)",533587.658909515,3623278.42326607
55,"AZ BB:2:65 (ASM)",517916.426036909,3629653.01259796
69,"AZ BB:6:142 (ASM)",534259.475097835,3627094.9111933
75,"AZ BB:6:182 (ASM)",549509.529858559,3612220.33354563
81,"Curtis",561192.410663098,3585393.68291044
94,"Jose Solas Ruin",547344.802558348,3577837.94777077
95,"Piper Springs",528132.966676086,3656189.06379837
97,"Soza Wash",548705.267641187,3587063.43536113
99,"Wright",531832.620825723,3639825.8172534
103,"Second Canyon Compound",546870.363896281,3593222.44088662
106,"12-04-0582 (TNF)",465212.658210367,3736958.9402038
110,"12-06-0056",496253.137868538,3728086.59960458
129,"12-06-0453 (TNF)",481033.876132414,3740565.25748239
132,"12-06-0676 (TNF)",464249.883106172,3740515.76394179
138,"12-06-1292 (TNF)",489872.602233484,3708718.47296634
139,"12-06-1300 (TNF)",494454.222699523,3704715.03111804
145,"12-06-1518",498018.364670917,3732320.94735073
147,"12-06-1600",493320.763987869,3735044.21385789
148,"12-06-1764 (TNF)",464713.905540079,3750941.62606062
149,"12-06-1889 (TNF)",471791.33435075,3747313.33995605
150,"12-06-1925 (TNF)",477155.776970878,3750638.31204483
151,"12-06-2020 (TNF)",474485.259723172,3724985.75203642
152,"12-06-2077 (TNF)",465324.6782047,3754582.74394625
153,"12-06-2114 (TNF)",480901.733482197,3754508.21407969
154,"12-06-2140 (TNF)",468914.281927988,3732748.37065683
155,"12-06-2183 (TNF)",484795.898284137,3737830.85660712
156,"12-06-2522 (TNF)",487034.783729807,3735638.64530513
157,"12-06-2524 (TNF)",475887.703621805,3742592.02455805
158,"Armer Gulch Ruin",487259.834083363,3734974.1440322
159,"Armer Ranch Complex",506022.6655716,3725527.41670077
160,"Armer Ranch Mound",488849.01292491,3724024.74360706
170,"AZ U:3:100 (ASM)",481190.525628895,3741993.56140697
174,"AZ U:3:104 (ASM)",482676.883045629,3740824.35615169
